Model,Accuracy,Profit
baseline,0.3582938388625592,-4895.829999999982
odds,0.20900473933649288,-5946.889999999992
dt-classifier,0.5973684210526315,8001.600000000001
nb-classifier,0.5605263157894737,7273.000000000001
lp-classifier,0.531578947368421,6841.4000000000015
svc-classifier,0.6473684210526316,8513.8
knn-classifier,0.5605263157894737,7588.500000000002
adb-classifier,0.6368421052631579,8231.000000000002
rf-classifier,0.6368421052631579,8242.7
xgb-classifier,0.6289473684210526,8151.500000000002
svc-classifier (no draws),0.8288590604026845,9374.3
nn_cls,0.618421052631579,8280.600000000002
nn_regr,0.5342105263157895,6599.700000000002
ELO-model-1,0.5052631578947369,-130.80000000000004
ELO-model-2,0.5105263157894737,-68.3
optimized-ELO-model,0.5631578947368421,528.9000000000001
